dataset,seed,epoch,loss,accuracy
cicids2017_binary_balanced,42,1,0.12126893550157547,0.9516615867614746
cicids2017_binary_balanced,42,2,0.06641891598701477,0.9742255806922913
cicids2017_binary_balanced,42,3,0.059375032782554626,0.9774956703186035
cicids2017_binary_balanced,42,4,0.057073041796684265,0.9785060882568359
cicids2017_binary_balanced,42,5,0.048968080431222916,0.9808700680732727
cicids2017_binary_balanced,42,6,0.048518214374780655,0.9811832904815674
cicids2017_binary_balanced,42,7,0.046446219086647034,0.9819346070289612
cicids2017_binary_balanced,42,8,0.046669937670230865,0.9817109107971191
cicids2017_binary_balanced,42,9,0.042616527527570724,0.9832303524017334
cicids2017_binary_balanced,42,10,0.04205061122775078,0.9835826754570007
cicids2017_binary_balanced,42,11,0.04155334085226059,0.9837355613708496
cicids2017_binary_balanced,42,12,0.040830496698617935,0.9838977456092834
cicids2017_binary_balanced,42,13,0.040950290858745575,0.9838436841964722
cicids2017_binary_balanced,42,14,0.039099834859371185,0.9845577478408813
cicids2017_binary_balanced,42,15,0.03847164288163185,0.984731137752533
cicids2017_binary_balanced,42,16,0.03875941410660744,0.9846677184104919
cicids2017_binary_balanced,42,17,0.038098808377981186,0.9849716424942017
cicids2017_binary_balanced,42,18,0.03807977959513664,0.9851394295692444
cicids2017_binary_balanced,42,19,0.037273384630680084,0.9851654767990112
cicids2017_binary_balanced,42,20,0.04064738005399704,0.9839425086975098
cicids2017_binary_balanced,43,1,0.1245604157447815,0.9512516260147095
cicids2017_binary_balanced,43,2,0.0773354172706604,0.9690596461296082
cicids2017_binary_balanced,43,3,0.06736694276332855,0.973103404045105
cicids2017_binary_balanced,43,4,0.057893116027116776,0.9765803217887878
cicids2017_binary_balanced,43,5,0.05547235533595085,0.978327214717865
cicids2017_binary_balanced,43,6,0.05487459525465965,0.9783756732940674
cicids2017_binary_balanced,43,7,0.052988920360803604,0.9795688390731812
cicids2017_binary_balanced,43,8,0.04843151196837425,0.9809428453445435
cicids2017_binary_balanced,43,9,0.04510357230901718,0.9823318123817444
cicids2017_binary_balanced,43,10,0.043944597244262695,0.9827866554260254
cicids2017_binary_balanced,43,11,0.04293351247906685,0.9831297397613525
cicids2017_binary_balanced,43,12,0.04369516298174858,0.9827792048454285
cicids2017_binary_balanced,43,13,0.040860824286937714,0.9838959574699402
cicids2017_binary_balanced,43,14,0.04248363524675369,0.9831446409225464
cicids2017_binary_balanced,43,15,0.04052106291055679,0.9839313626289368
cicids2017_binary_balanced,43,16,0.04017506539821625,0.9838381409645081
cicids2017_binary_balanced,43,17,0.03919828683137894,0.9842594861984253
cicids2017_binary_balanced,43,18,0.03952569514513016,0.9843452572822571
cicids2017_binary_balanced,43,19,0.037570398300886154,0.9847479462623596
cicids2017_binary_balanced,43,20,0.03753162920475006,0.9848132133483887
cicids2017_binary_balanced,44,1,0.11980549991130829,0.9519509077072144
cicids2017_binary_balanced,44,2,0.06884878873825073,0.9721031188964844
cicids2017_binary_balanced,44,3,0.06157390773296356,0.9755671620368958
cicids2017_binary_balanced,44,4,0.05810687318444252,0.9773644208908081
cicids2017_binary_balanced,44,5,0.05468698590993881,0.9792492985725403
cicids2017_binary_balanced,44,6,0.05062488093972206,0.9805450439453125
cicids2017_binary_balanced,44,7,0.04895416274666786,0.9810540676116943
cicids2017_binary_balanced,44,8,0.04694925621151924,0.9817438721656799
cicids2017_binary_balanced,44,9,0.04367932304739952,0.9829632043838501
cicids2017_binary_balanced,44,10,0.04273960739374161,0.9832372665405273
cicids2017_binary_balanced,44,11,0.041614335030317307,0.9835523366928101
cicids2017_binary_balanced,44,12,0.047554146498441696,0.9816003441810608
cicids2017_binary_balanced,44,13,0.041323546320199966,0.9839662313461304
cicids2017_binary_balanced,44,14,0.03948882594704628,0.9842756986618042
cicids2017_binary_balanced,44,15,0.040261004120111465,0.984214186668396
cicids2017_binary_balanced,44,16,0.038545310497283936,0.9847567081451416
cicids2017_binary_balanced,44,17,0.03858330473303795,0.9848443865776062
cicids2017_binary_balanced,44,18,0.03834246098995209,0.9849077463150024
cicids2017_binary_balanced,44,19,0.03683468699455261,0.9852452278137207
cicids2017_binary_balanced,44,20,0.03624122217297554,0.9854894280433655
cicids2017_binary_balanced,45,1,0.12122324109077454,0.9516275525093079
cicids2017_binary_balanced,45,2,0.06868904083967209,0.9731887578964233
cicids2017_binary_balanced,45,3,0.06065332144498825,0.9765874743461609
cicids2017_binary_balanced,45,4,0.05373768135905266,0.9791659116744995
cicids2017_binary_balanced,45,5,0.04963408410549164,0.9807375073432922
cicids2017_binary_balanced,45,6,0.0512959249317646,0.9800514578819275
cicids2017_binary_balanced,45,7,0.04712318256497383,0.981624960899353
cicids2017_binary_balanced,45,8,0.04796886816620827,0.9810358285903931
cicids2017_binary_balanced,45,9,0.044690247625112534,0.9823930859565735
cicids2017_binary_balanced,45,10,0.04632150009274483,0.9816137552261353
cicids2017_binary_balanced,45,11,0.04255777224898338,0.9829225540161133
cicids2017_binary_balanced,45,12,0.0412781797349453,0.983301043510437
cicids2017_binary_balanced,45,13,0.04111010953783989,0.9835489988327026
cicids2017_binary_balanced,45,14,0.04016617313027382,0.9838081002235413
cicids2017_binary_balanced,45,15,0.04022786393761635,0.9836496710777283
cicids2017_binary_balanced,45,16,0.03886229917407036,0.9842089414596558
cicids2017_binary_balanced,45,17,0.03832390159368515,0.9844214916229248
cicids2017_binary_balanced,45,18,0.037815265357494354,0.9844363927841187
cicids2017_binary_balanced,45,19,0.037759263068437576,0.9845985770225525
cicids2017_binary_balanced,45,20,0.041233476251363754,0.9834054112434387
cicids2017_binary_balanced,46,1,0.12360598891973495,0.9509881138801575
cicids2017_binary_balanced,46,2,0.07042468339204788,0.9724875688552856
cicids2017_binary_balanced,46,3,0.06165747344493866,0.9755005836486816
cicids2017_binary_balanced,46,4,0.05752291902899742,0.9771320223808289
cicids2017_binary_balanced,46,5,0.053860943764448166,0.9783551096916199
cicids2017_binary_balanced,46,6,0.05303023010492325,0.9791717529296875
cicids2017_binary_balanced,46,7,0.053657907992601395,0.978994607925415
cicids2017_binary_balanced,46,8,0.049490708857774734,0.98048996925354
cicids2017_binary_balanced,46,9,0.04760423302650452,0.9814110398292542
cicids2017_binary_balanced,46,10,0.04705560952425003,0.9815527200698853
cicids2017_binary_balanced,46,11,0.04522751644253731,0.9823824167251587
cicids2017_binary_balanced,46,12,0.0428520143032074,0.9831300973892212
cicids2017_binary_balanced,46,13,0.04332660511136055,0.9828671813011169
cicids2017_binary_balanced,46,14,0.041666168719530106,0.9835066795349121
cicids2017_binary_balanced,46,15,0.04199819266796112,0.9832028150558472
cicids2017_binary_balanced,46,16,0.04099169373512268,0.983510434627533
cicids2017_binary_balanced,46,17,0.03931235149502754,0.9841946959495544
cicids2017_binary_balanced,46,18,0.03870152682065964,0.9845526814460754
cicids2017_binary_balanced,46,19,0.03870551660656929,0.9843699336051941
cicids2017_binary_balanced,46,20,0.03879151493310928,0.984017550945282
IoT Network Intrusion Dataset,42,1,0.110767662525177,0.9641841053962708
IoT Network Intrusion Dataset,42,2,0.06637412309646606,0.9777494072914124
IoT Network Intrusion Dataset,42,3,0.03979213908314705,0.9881359934806824
IoT Network Intrusion Dataset,42,4,0.027560299262404442,0.9923925399780273
IoT Network Intrusion Dataset,42,5,0.025533245876431465,0.9931054711341858
IoT Network Intrusion Dataset,42,6,0.022185813635587692,0.9943073391914368
IoT Network Intrusion Dataset,42,7,0.020450333133339882,0.9947240352630615
IoT Network Intrusion Dataset,42,8,0.01785222999751568,0.9954644441604614
IoT Network Intrusion Dataset,42,9,0.01871786266565323,0.9952613115310669
IoT Network Intrusion Dataset,42,10,0.015822837129235268,0.9960223436355591
IoT Network Intrusion Dataset,42,11,0.022619199007749557,0.9944037795066833
IoT Network Intrusion Dataset,42,12,0.02332565188407898,0.9942246675491333
IoT Network Intrusion Dataset,42,13,0.014807308092713356,0.996342658996582
IoT Network Intrusion Dataset,42,14,0.021691391244530678,0.9944450855255127
IoT Network Intrusion Dataset,42,15,0.01713395118713379,0.9954954385757446
IoT Network Intrusion Dataset,42,16,0.017452169209718704,0.9952923059463501
IoT Network Intrusion Dataset,42,17,0.02133624069392681,0.9940559267997742
IoT Network Intrusion Dataset,42,18,0.015797026455402374,0.9958295226097107
IoT Network Intrusion Dataset,42,19,0.014042085036635399,0.996321976184845
IoT Network Intrusion Dataset,42,20,0.012091873213648796,0.9969660043716431
IoT Network Intrusion Dataset,43,1,0.10452510416507721,0.9660407900810242
IoT Network Intrusion Dataset,43,2,0.062239885330200195,0.9789677262306213
IoT Network Intrusion Dataset,43,3,0.05315716564655304,0.9818167686462402
IoT Network Intrusion Dataset,43,4,0.03663058206439018,0.9894188046455383
IoT Network Intrusion Dataset,43,5,0.025124164298176765,0.9934663772583008
IoT Network Intrusion Dataset,43,6,0.02837189845740795,0.9918603301048279
IoT Network Intrusion Dataset,43,7,0.02429310977458954,0.9938910007476807
IoT Network Intrusion Dataset,43,8,0.02255556359887123,0.9942094683647156
IoT Network Intrusion Dataset,43,9,0.02107187919318676,0.9943669438362122
IoT Network Intrusion Dataset,43,10,0.015590299852192402,0.9960346221923828
IoT Network Intrusion Dataset,43,11,0.015353049151599407,0.99614417552948
IoT Network Intrusion Dataset,43,12,0.02057570591568947,0.9949148297309875
IoT Network Intrusion Dataset,43,13,0.01819794625043869,0.9951648116111755
IoT Network Intrusion Dataset,43,14,0.023613452911376953,0.9941067099571228
IoT Network Intrusion Dataset,43,15,0.017642585560679436,0.9953771233558655
IoT Network Intrusion Dataset,43,16,0.015293982811272144,0.9961270689964294
IoT Network Intrusion Dataset,43,17,0.020875345915555954,0.9939218163490295
IoT Network Intrusion Dataset,43,18,0.02753264456987381,0.992329478263855
IoT Network Intrusion Dataset,43,19,0.013411084190011024,0.9967160820960999
IoT Network Intrusion Dataset,43,20,0.01445749495178461,0.9963051080703735
IoT Network Intrusion Dataset,44,1,0.11660019308328629,0.961388349533081
IoT Network Intrusion Dataset,44,2,0.04449205473065376,0.9878010749816895
