dataset,accuracy,precision,recall,f1,roc_auc,baseline_runtime_s,normalization_s,permutation_s,encryption_s,conventional_storage_s,blockchain_s,decryption_s,unshuffle_s,security_extra_time_s,secure_total_runtime_s,overhead_pct,throughput_samples_per_s,process_memory_mb,reconstruction_mae
IoT Network Intrusion Dataset,0.0012864210074962806,0.0010435623038399357,0.00042278742246307384,0.0007005401250153381,0.0010529745027900242,9.911579170268018,0.003561177250853196,0.02010782547434754,0.01640293340750783,0.06630068095908506,0.16474099978969342,0.13208755039848222,0.008297056613110861,0.36606855859843546,10.031976796273373,0.08780931824653987,10.325902005222321,348.7863327340961,0.0
NNSL-KDD,0.0006897069398323117,0.0013054902231219652,0.0009317718290902901,0.0007084022305808321,9.042767002522572e-05,3.291207209712449,0.02313368359514877,0.004457001611382198,0.04125713376798724,0.030948825959363522,0.0624565154237086,0.05826125917220842,0.0020663287789909808,0.21714756536830665,3.449921031379116,0.12863895456561109,6.120527621354624,370.9553459048614,0.0
cicids2017_binary_balanced,0.0045705004984792595,0.0007650889073846038,0.008819964694055304,0.004686591230445622,0.0006994833500235392,16.51305917570768,0.0783500400935189,0.04503970746351103,0.26398797282235126,0.17371481381636475,0.22773575363883483,0.11899799527927503,0.012614197311287099,0.6520535823695108,16.273177847239378,0.1014395411017101,8.687718589326632,403.01414073433705,0.0
train_test_network,0.0012541581016556115,0.0010280740472674384,0.0005937662690989032,0.0008025871885940091,0.0005501051280694672,10.077907748716985,0.007867373256413865,0.006364564364288167,0.009516058385366165,0.0020245614390545764,0.012613022709457173,0.012639188067335782,0.002407413538744615,0.03086602685385299,10.048329998560705,0.019884474263630617,6.567205505271302,355.8812809809598,0.0
