dataset,seed,case,accuracy,precision,recall,f1,status,authorized_roundtrip_mae
NNSL-KDD,45,3_normalization_plus_permutation_no_encryption,0.987828517333093,0.9870251974426476,0.98758231420508,0.9873036772312612,evaluated,
NNSL-KDD,45,4_aes_gcm_only_no_permutation,0.9882567732047064,0.9876781263227202,0.9878174976481656,0.9877478070691156,evaluated,0.0
NNSL-KDD,45,5_full_normalization_permutation_aes_gcm_local_ledger,0.987963756029392,0.9870288560954976,0.9878645343367828,0.9874465184070712,evaluated,0.0
NNSL-KDD,46,1_cnn_bilstm_mlp_no_protection,0.988168480832939,0.9863219036912124,0.9890553807130444,0.9876867509440158,evaluated,
NNSL-KDD,46,2_normalization_only,0.9874473215694228,0.9864382918817456,0.9874113391892526,0.9869245756942652,evaluated,
NNSL-KDD,46,3_normalization_plus_permutation_no_encryption,0.9875149302503776,0.9867599417813044,0.9872234487293908,0.9869916408377948,evaluated,
NNSL-KDD,46,4_aes_gcm_only_no_permutation,0.988168480832939,0.9863219036912124,0.9890553807130444,0.9876867509440158,evaluated,0.0
NNSL-KDD,46,5_full_normalization_permutation_aes_gcm_local_ledger,0.9874473215694228,0.9864382918817456,0.9874113391892526,0.9869245756942652,evaluated,0.0
cicids2017_binary_balanced,42,1_cnn_bilstm_mlp_no_protection,0.9823059092546476,0.9799252452888958,0.9848101860184844,0.982361642915969,evaluated,
cicids2017_binary_balanced,42,2_normalization_only,0.9793066453664112,0.97790296655795,0.9808033932526236,0.9793510324483776,evaluated,
cicids2017_binary_balanced,42,3_normalization_plus_permutation_no_encryption,0.9796159689266865,0.9780209495137,0.981312068115477,0.9796637447460116,evaluated,
cicids2017_binary_balanced,42,4_aes_gcm_only_no_permutation,0.9823059092546476,0.9799252452888958,0.9848101860184844,0.982361642915969,evaluated,0.0
cicids2017_binary_balanced,42,5_full_normalization_permutation_aes_gcm_local_ledger,0.9793066453664112,0.97790296655795,0.9808033932526236,0.9793510324483776,evaluated,0.0
cicids2017_binary_balanced,43,1_cnn_bilstm_mlp_no_protection,0.9800778405130895,0.9805524239007892,0.9796320630749016,0.980092027420415,evaluated,
cicids2017_binary_balanced,43,2_normalization_only,0.981734104951565,0.9794194798826196,0.9841921656967648,0.9818000226280532,evaluated,
cicids2017_binary_balanced,43,3_normalization_plus_permutation_no_encryption,0.9822979396540248,0.9808782587673808,0.9838167198548275,0.9823452918825832,evaluated,
cicids2017_binary_balanced,43,4_aes_gcm_only_no_permutation,0.9800778405130895,0.9805524239007892,0.9796320630749016,0.980092027420415,evaluated,0.0
cicids2017_binary_balanced,43,5_full_normalization_permutation_aes_gcm_local_ledger,0.981734104951565,0.9794194798826196,0.9841921656967648,0.9818000226280532,evaluated,0.0
cicids2017_binary_balanced,44,1_cnn_bilstm_mlp_no_protection,0.9822367519527044,0.9814381885423428,0.9830600065786382,0.9822484281035906,evaluated,
cicids2017_binary_balanced,44,2_normalization_only,0.9807411467611534,0.9782844141778544,0.9833027896558746,0.980787182601835,evaluated,
cicids2017_binary_balanced,44,3_normalization_plus_permutation_no_encryption,0.9805767084940196,0.9784637696980092,0.9827780649405572,0.9806161720749408,evaluated,
cicids2017_binary_balanced,44,4_aes_gcm_only_no_permutation,0.9822367519527044,0.9814381885423428,0.9830600065786382,0.9822484281035906,evaluated,0.0
cicids2017_binary_balanced,44,5_full_normalization_permutation_aes_gcm_local_ledger,0.9807411467611534,0.9782844141778544,0.9833027896558746,0.980787182601835,evaluated,0.0
cicids2017_binary_balanced,45,1_cnn_bilstm_mlp_no_protection,0.9711905153444372,0.9794404881390496,0.9626019697183208,0.97094822957137,evaluated,
cicids2017_binary_balanced,45,2_normalization_only,0.9761317452486667,0.9791840658041948,0.9729594313182082,0.97606182457904,evaluated,
cicids2017_binary_balanced,45,3_normalization_plus_permutation_no_encryption,0.9704270131009154,0.9790416058801488,0.9614511406516668,0.9701666449423912,evaluated,
cicids2017_binary_balanced,45,4_aes_gcm_only_no_permutation,0.9711905153444372,0.9794404881390496,0.9626019697183208,0.97094822957137,evaluated,0.0
