dataset,accuracy,precision,recall,f1,roc_auc,baseline_runtime_s,normalization_s,permutation_s,encryption_s,conventional_storage_s,blockchain_s,decryption_s,unshuffle_s,security_extra_time_s,secure_total_runtime_s,overhead_pct,throughput_samples_per_s,process_memory_mb,reconstruction_mae
IoT Network Intrusion Dataset,0.9969629769023086,0.9972573961459041,0.9994308532399596,0.9983428257200979,0.9986431623777277,396.86981075400035,0.38769095199950243,0.2453836164000677,0.4279937572004201,0.23996332320039074,0.4648049619998346,0.5053644278001229,0.05895344059990748,2.330154479200246,399.1999652332006,0.5868366128558806,345.22651869086803,4857.28828125,0.0
NNSL-KDD,0.9889295803449822,0.98815341182852,0.9887422667976752,0.9884471162139109,0.9992609969218442,158.72466649719973,0.13591667740001867,0.04733108219988935,0.1692505271996197,0.09054074439991382,0.17306712239987973,0.17638194459941586,0.013276248199690598,0.8057643463984278,159.53043084359814,0.5061981967250279,278.23838966718665,5537.9875,0.0
cicids2017_binary_balanced,0.9789288399364034,0.9804129655705127,0.9773994995338633,0.9788894974743695,0.998064528648498,690.7993144444,0.7661745125999915,0.5429563092001445,0.9236568902001636,0.5035313547999067,0.8573681390002094,0.875298532800025,0.1450548672001787,4.61404060580062,695.4133550502006,0.6689418102105894,367.4417322468388,4283.59453125,0.0
train_test_network,0.9930780526618334,0.995064637283851,0.9960642896540657,0.9955641632927857,0.9985154915390841,294.3966684390005,0.15218980679965172,0.06372150280003552,0.17457687759997498,0.09051744519965724,0.1743893096001557,0.18071873859989865,0.017524557800788897,0.8536382384001626,295.25030667740066,0.2905021831861868,193.7291463317227,7230.0,0.0
