dataset,accuracy,precision,recall,f1,roc_auc,baseline_runtime_s,normalization_s,permutation_s,encryption_s,conventional_storage_s,blockchain_s,decryption_s,unshuffle_s,security_extra_time_s,secure_total_runtime_s,overhead_pct,throughput_samples_per_s,process_memory_mb,reconstruction_mae
IoT Network Intrusion Dataset,0.996963 ± 0.001286,0.997257 ± 0.001044,0.999431 ± 0.000423,0.998343 ± 0.000701,0.998643 ± 0.001053,396.869811 ± 9.911579,0.387691 ± 0.003561,0.245384 ± 0.020108,0.427994 ± 0.016403,0.239963 ± 0.066301,0.464805 ± 0.164741,0.505364 ± 0.132088,0.058953 ± 0.008297,2.330154 ± 0.366069,399.199965 ± 10.031977,0.586837 ± 0.087809,345.226519 ± 10.325902,4857.288281 ± 348.786333,0.000000 ± 0.000000
NNSL-KDD,0.988930 ± 0.000690,0.988153 ± 0.001305,0.988742 ± 0.000932,0.988447 ± 0.000708,0.999261 ± 0.000090,158.724666 ± 3.291207,0.135917 ± 0.023134,0.047331 ± 0.004457,0.169251 ± 0.041257,0.090541 ± 0.030949,0.173067 ± 0.062457,0.176382 ± 0.058261,0.013276 ± 0.002066,0.805764 ± 0.217148,159.530431 ± 3.449921,0.506198 ± 0.128639,278.238390 ± 6.120528,5537.987500 ± 370.955346,0.000000 ± 0.000000
cicids2017_binary_balanced,0.978929 ± 0.004571,0.980413 ± 0.000765,0.977399 ± 0.008820,0.978889 ± 0.004687,0.998065 ± 0.000699,690.799314 ± 16.513059,0.766175 ± 0.078350,0.542956 ± 0.045040,0.923657 ± 0.263988,0.503531 ± 0.173715,0.857368 ± 0.227736,0.875299 ± 0.118998,0.145055 ± 0.012614,4.614041 ± 0.652054,695.413355 ± 16.273178,0.668942 ± 0.101440,367.441732 ± 8.687719,4283.594531 ± 403.014141,0.000000 ± 0.000000
train_test_network,0.993078 ± 0.001254,0.995065 ± 0.001028,0.996064 ± 0.000594,0.995564 ± 0.000803,0.998515 ± 0.000550,294.396668 ± 10.077908,0.152190 ± 0.007867,0.063722 ± 0.006365,0.174577 ± 0.009516,0.090517 ± 0.002025,0.174389 ± 0.012613,0.180719 ± 0.012639,0.017525 ± 0.002407,0.853638 ± 0.030866,295.250307 ± 10.048330,0.290502 ± 0.019884,193.729146 ± 6.567206,7230.000000 ± 355.881281,0.000000 ± 0.000000
